,Type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Wine Quality Categorisation
534,Red,10.0,0.48,0.24,2.7,0.102,13.0,32.0,1.0,3.28,0.56,10.0,1
535,Red,9.1,0.22,0.24,2.1,0.078,1.0,28.0,0.999,3.41,0.87,10.3,1
536,Red,9.9,0.63,0.24,2.4,0.077,6.0,33.0,0.9974,3.09,0.57,9.4,0
537,Red,8.1,0.825,0.24,2.1,0.084,5.0,13.0,0.9972,3.37,0.77,10.7,1
538,Red,12.9,0.35,0.49,5.8,0.066,5.0,35.0,1.0014,3.2,0.66,12.0,1
539,Red,11.2,0.5,0.74,5.15,0.1,5.0,17.0,0.9996,3.22,0.62,11.2,0
540,Red,9.2,0.59,0.24,3.3,0.101,20.0,47.0,0.9988,3.26,0.67,9.6,0
541,Red,9.5,0.46,0.49,6.3,0.064,5.0,17.0,0.9988,3.21,0.73,11.0,1
542,Red,9.3,0.715,0.24,2.1,0.07,5.0,20.0,0.9966,3.12,0.59,9.9,0
543,Red,11.2,0.66,0.24,2.5,0.085,16.0,53.0,0.9993,3.06,0.72,11.0,1
544,Red,14.3,0.31,0.74,1.8,0.075,6.0,15.0,1.0008,2.86,0.79,8.4,1
545,Red,9.1,0.47,0.49,2.6,0.094,38.0,106.0,0.9982,3.08,0.59,9.1,0
546,Red,7.5,0.55,0.24,2.0,0.078,10.0,28.0,0.9983,3.45,0.78,9.5,1
547,Red,10.6,0.31,0.49,2.5,0.067,6.0,21.0,0.9987,3.26,0.86,10.7,1
548,Red,12.4,0.35,0.49,2.6,0.079,27.0,69.0,0.9994,3.12,0.75,10.4,1
549,Red,9.0,0.53,0.49,1.9,0.171,6.0,25.0,0.9975,3.27,0.61,9.4,1
550,Red,6.8,0.51,0.01,2.1,0.074,9.0,25.0,0.9958,3.33,0.56,9.5,1
551,Red,9.4,0.43,0.24,2.8,0.092,14.0,45.0,0.998,3.19,0.73,10.0,1
552,Red,9.5,0.46,0.24,2.7,0.092,14.0,44.0,0.998,3.12,0.74,10.0,1
553,Red,5.0,1.04,0.24,1.6,0.05,32.0,96.0,0.9934,3.74,0.62,11.5,0
554,Red,15.5,0.645,0.49,4.2,0.095,10.0,23.0,1.00315,2.92,0.74,11.1,0
555,Red,15.5,0.645,0.49,4.2,0.095,10.0,23.0,1.00315,2.92,0.74,11.1,0
556,Red,10.9,0.53,0.49,4.6,0.118,10.0,17.0,1.0002,3.07,0.56,11.7,1
557,Red,15.6,0.645,0.49,4.2,0.095,10.0,23.0,1.00315,2.92,0.74,11.1,0
558,Red,10.9,0.53,0.49,4.6,0.118,10.0,17.0,1.0002,3.07,0.56,11.7,1
559,Red,13.0,0.47,0.49,4.3,0.085,6.0,47.0,1.0021,3.3,0.68,12.7,1
560,Red,12.7,0.6,0.49,2.8,0.075,5.0,19.0,0.9994,3.14,0.57,11.4,0
561,Red,9.0,0.44,0.49,2.4,0.078,26.0,121.0,0.9978,3.23,0.58,9.2,0
562,Red,9.0,0.54,0.49,2.9,0.094,41.0,110.0,0.9982,3.08,0.61,9.2,0
563,Red,7.6,0.29,0.49,2.7,0.092,25.0,60.0,0.9971,3.31,0.61,10.1,1
564,Red,13.0,0.47,0.49,4.3,0.085,6.0,47.0,1.0021,3.3,0.68,12.7,1
565,Red,12.7,0.6,0.49,2.8,0.075,5.0,19.0,0.9994,3.14,0.57,11.4,0
566,Red,8.7,0.7,0.24,2.5,0.226,5.0,15.0,0.9991,3.32,0.6,9.0,1
567,Red,8.7,0.7,0.24,2.5,0.226,5.0,15.0,0.9991,3.32,0.6,9.0,1
568,Red,9.8,0.5,0.49,2.6,0.25,5.0,20.0,0.999,3.31,0.79,10.7,1
569,Red,6.2,0.36,0.24,2.2,0.095,19.0,42.0,0.9946,3.57,0.57,11.7,1
570,Red,11.5,0.35,0.49,3.3,0.07,10.0,37.0,1.0003,3.32,0.91,11.0,1
571,Red,6.2,0.36,0.24,2.2,0.095,19.0,42.0,0.9946,3.57,0.57,11.7,1
572,Red,10.2,0.24,0.49,2.4,0.075,10.0,28.0,0.9978,3.14,0.61,10.4,0
573,Red,10.5,0.59,0.49,2.1,0.07,14.0,47.0,0.9991,3.3,0.56,9.6,0
574,Red,10.6,0.34,0.49,3.2,0.078,20.0,78.0,0.9992,3.19,0.7,10.0,1
575,Red,12.3,0.27,0.49,3.1,0.079,28.0,46.0,0.9993,3.2,0.8,10.2,1
576,Red,9.9,0.5,0.24,2.3,0.103,6.0,14.0,0.9978,3.34,0.52,10.0,0
577,Red,8.8,0.44,0.49,2.8,0.083,18.0,111.0,0.9982,3.3,0.6,9.5,0
578,Red,8.8,0.47,0.49,2.9,0.085,17.0,110.0,0.9982,3.29,0.6,9.8,0
579,Red,10.6,0.31,0.49,2.2,0.063,18.0,40.0,0.9976,3.14,0.51,9.8,1
580,Red,12.3,0.5,0.49,2.2,0.089,5.0,14.0,1.0002,3.19,0.44,9.6,0
581,Red,12.3,0.5,0.49,2.2,0.089,5.0,14.0,1.0002,3.19,0.44,9.6,0
582,Red,11.7,0.49,0.49,2.2,0.083,5.0,15.0,1.0,3.19,0.43,9.2,0
583,Red,12.0,0.28,0.49,1.9,0.074,10.0,21.0,0.9976,2.98,0.66,9.9,1
584,Red,11.8,0.33,0.49,3.4,0.093,54.0,80.0,1.0002,3.3,0.76,10.7,1
585,Red,7.6,0.51,0.24,2.4,0.091,8.0,38.0,0.998,3.47,0.66,9.6,1
586,Red,11.1,0.31,0.49,2.7,0.094,16.0,47.0,0.9986,3.12,1.02,10.6,1
587,Red,7.3,0.73,0.24,1.9,0.108,18.0,102.0,0.9967,3.26,0.59,9.3,0
588,Red,5.0,0.42,0.24,2.0,0.06,19.0,50.0,0.9917,3.72,0.74,14.0,1
589,Red,10.2,0.29,0.49,2.6,0.059,5.0,13.0,0.9976,3.05,0.74,10.5,1
590,Red,9.0,0.45,0.49,2.6,0.084,21.0,75.0,0.9987,3.35,0.57,9.7,0
591,Red,6.6,0.39,0.49,1.7,0.07,23.0,149.0,0.9922,3.12,0.5,11.5,1
592,Red,9.0,0.45,0.49,2.6,0.084,21.0,75.0,0.9987,3.35,0.57,9.7,0
593,Red,9.9,0.49,0.58,3.5,0.094,9.0,43.0,1.0004,3.29,0.58,9.0,0
594,Red,7.9,0.72,0.17,2.6,0.096,20.0,38.0,0.9978,3.4,0.53,9.5,0
595,Red,8.9,0.595,0.41,7.9,0.086,30.0,109.0,0.9998,3.27,0.57,9.3,0
596,Red,12.4,0.4,0.51,2.0,0.059,6.0,24.0,0.9994,3.04,0.6,9.3,1
597,Red,11.9,0.58,0.58,1.9,0.071,5.0,18.0,0.998,3.09,0.63,10.0,1
598,Red,8.5,0.585,0.18,2.1,0.078,5.0,30.0,0.9967,3.2,0.48,9.8,1
599,Red,12.7,0.59,0.45,2.3,0.082,11.0,22.0,1.0,3.0,0.7,9.3,1
600,Red,8.2,0.915,0.27,2.1,0.088,7.0,23.0,0.9962,3.26,0.47,10.0,0
601,Red,13.2,0.46,0.52,2.2,0.071,12.0,35.0,1.0006,3.1,0.56,9.0,1
602,Red,7.7,0.835,0.0,2.6,0.081,6.0,14.0,0.9975,3.3,0.52,9.3,0
603,Red,13.2,0.46,0.52,2.2,0.071,12.0,35.0,1.0006,3.1,0.56,9.0,1
604,Red,8.3,0.58,0.13,2.9,0.096,14.0,63.0,0.9984,3.17,0.62,9.1,1
605,Red,8.3,0.6,0.13,2.6,0.085,6.0,24.0,0.9984,3.31,0.59,9.2,1
606,Red,9.4,0.41,0.48,4.6,0.072,10.0,20.0,0.9973,3.34,0.79,12.2,1
607,Red,8.8,0.48,0.41,3.3,0.092,26.0,52.0,0.9982,3.31,0.53,10.5,1
608,Red,10.1,0.65,0.37,5.1,0.11,11.0,65.0,1.0026,3.32,0.64,10.4,1
609,Red,6.3,0.36,0.19,3.2,0.075,15.0,39.0,0.9956,3.56,0.52,12.7,1
610,Red,8.8,0.24,0.54,2.5,0.083,25.0,57.0,0.9983,3.39,0.54,9.2,0
611,Red,13.2,0.38,0.55,2.7,0.081,5.0,16.0,1.0006,2.98,0.54,9.4,0
612,Red,7.5,0.64,0.0,2.4,0.077,18.0,29.0,0.9965,3.32,0.6,10.0,1
613,Red,8.2,0.39,0.38,1.5,0.058,10.0,29.0,0.9962,3.26,0.74,9.8,0
614,Red,9.2,0.755,0.18,2.2,0.148,10.0,103.0,0.9969,2.87,1.36,10.2,1
615,Red,9.6,0.6,0.5,2.3,0.079,28.0,71.0,0.9997,3.5,0.57,9.7,0
616,Red,9.6,0.6,0.5,2.3,0.079,28.0,71.0,0.9997,3.5,0.57,9.7,0
617,Red,11.5,0.31,0.51,2.2,0.079,14.0,28.0,0.9982,3.03,0.93,9.8,1
618,Red,11.4,0.46,0.5,2.7,0.122,4.0,17.0,1.0006,3.13,0.7,10.2,0
619,Red,11.3,0.37,0.41,2.3,0.088,6.0,16.0,0.9988,3.09,0.8,9.3,0
620,Red,8.3,0.54,0.24,3.4,0.076,16.0,112.0,0.9976,3.27,0.61,9.4,0
621,Red,8.2,0.56,0.23,3.4,0.078,14.0,104.0,0.9976,3.28,0.62,9.4,0
622,Red,10.0,0.58,0.22,1.9,0.08,9.0,32.0,0.9974,3.13,0.55,9.5,0
623,Red,7.9,0.51,0.25,2.9,0.077,21.0,45.0,0.9974,3.49,0.96,12.1,1
624,Red,6.8,0.69,0.0,5.6,0.124,21.0,58.0,0.9997,3.46,0.72,10.2,0
625,Red,6.8,0.69,0.0,5.6,0.124,21.0,58.0,0.9997,3.46,0.72,10.2,0
626,Red,8.8,0.6,0.29,2.2,0.098,5.0,15.0,0.9988,3.36,0.49,9.1,0
627,Red,8.8,0.6,0.29,2.2,0.098,5.0,15.0,0.9988,3.36,0.49,9.1,0
628,Red,8.7,0.54,0.26,2.5,0.097,7.0,31.0,0.9976,3.27,0.6,9.3,1
629,Red,7.6,0.685,0.23,2.3,0.111,20.0,84.0,0.9964,3.21,0.61,9.3,0
630,Red,8.7,0.54,0.26,2.5,0.097,7.0,31.0,0.9976,3.27,0.6,9.3,1
631,Red,10.4,0.28,0.54,2.7,0.105,5.0,19.0,0.9988,3.25,0.63,9.5,0
632,Red,7.6,0.41,0.14,3.0,0.087,21.0,43.0,0.9964,3.32,0.57,10.5,1
633,Red,10.1,0.935,0.22,3.4,0.105,11.0,86.0,1.001,3.43,0.64,11.3,0
634,Red,7.9,0.35,0.21,1.9,0.073,46.0,102.0,0.9964,3.27,0.58,9.5,0
635,Red,8.7,0.84,0.0,1.4,0.065,24.0,33.0,0.9954,3.27,0.55,9.7,0
636,Red,9.6,0.88,0.28,2.4,0.086,30.0,147.0,0.9979,3.24,0.53,9.4,0
637,Red,9.5,0.885,0.27,2.3,0.084,31.0,145.0,0.9978,3.24,0.53,9.4,0
638,Red,7.7,0.915,0.12,2.2,0.143,7.0,23.0,0.9964,3.35,0.65,10.2,1
639,Red,8.9,0.29,0.35,1.9,0.067,25.0,57.0,0.997,3.18,1.36,10.3,1
640,Red,9.9,0.54,0.45,2.3,0.071,16.0,40.0,0.9991,3.39,0.62,9.4,0
641,Red,9.5,0.59,0.44,2.3,0.071,21.0,68.0,0.9992,3.46,0.63,9.5,0
642,Red,9.9,0.54,0.45,2.3,0.071,16.0,40.0,0.9991,3.39,0.62,9.4,0
643,Red,9.5,0.59,0.44,2.3,0.071,21.0,68.0,0.9992,3.46,0.63,9.5,0
644,Red,9.9,0.54,0.45,2.3,0.071,16.0,40.0,0.9991,3.39,0.62,9.4,0
645,Red,7.8,0.64,0.1,6.0,0.115,5.0,11.0,0.9984,3.37,0.69,10.1,1
646,Red,7.3,0.67,0.05,3.6,0.107,6.0,20.0,0.9972,3.4,0.63,10.1,0
647,Red,8.3,0.845,0.01,2.2,0.07,5.0,14.0,0.9967,3.32,0.58,11.0,0
648,Red,8.7,0.48,0.3,2.8,0.066,10.0,28.0,0.9964,3.33,0.67,11.2,1
649,Red,6.7,0.42,0.27,8.6,0.068,24.0,148.0,0.9948,3.16,0.57,11.3,1
650,Red,10.7,0.43,0.39,2.2,0.106,8.0,32.0,0.9986,2.89,0.5,9.6,0
651,Red,9.8,0.88,0.25,2.5,0.104,35.0,155.0,1.001,3.41,0.67,11.2,0
652,Red,15.9,0.36,0.65,7.5,0.096,22.0,71.0,0.9976,2.98,0.84,14.9,0
653,Red,9.4,0.33,0.59,2.8,0.079,9.0,30.0,0.9976,3.12,0.54,12.0,1
654,Red,8.6,0.47,0.47,2.4,0.074,7.0,29.0,0.9979,3.08,0.46,9.5,0
655,Red,9.7,0.55,0.17,2.9,0.087,20.0,53.0,1.0004,3.14,0.61,9.4,0
656,Red,10.7,0.43,0.39,2.2,0.106,8.0,32.0,0.9986,2.89,0.5,9.6,0
657,Red,12.0,0.5,0.59,1.4,0.073,23.0,42.0,0.998,2.92,0.68,10.5,1
658,Red,7.2,0.52,0.07,1.4,0.074,5.0,20.0,0.9973,3.32,0.81,9.6,1
659,Red,7.1,0.84,0.02,4.4,0.096,5.0,13.0,0.997,3.41,0.57,11.0,0
660,Red,7.2,0.52,0.07,1.4,0.074,5.0,20.0,0.9973,3.32,0.81,9.6,1
661,Red,7.5,0.42,0.31,1.6,0.08,15.0,42.0,0.9978,3.31,0.64,9.0,0
662,Red,7.2,0.57,0.06,1.6,0.076,9.0,27.0,0.9972,3.36,0.7,9.6,1
663,Red,10.1,0.28,0.46,1.8,0.05,5.0,13.0,0.9974,3.04,0.79,10.2,1
664,Red,12.1,0.4,0.52,2.0,0.092,15.0,54.0,1.0,3.03,0.66,10.2,0
665,Red,9.4,0.59,0.14,2.0,0.084,25.0,48.0,0.9981,3.14,0.56,9.7,0
666,Red,8.3,0.49,0.36,1.8,0.222,6.0,16.0,0.998,3.18,0.6,9.5,1
667,Red,11.3,0.34,0.45,2.0,0.082,6.0,15.0,0.9988,2.94,0.66,9.2,1
668,Red,10.0,0.73,0.43,2.3,0.059,15.0,31.0,0.9966,3.15,0.57,11.0,0
669,Red,11.3,0.34,0.45,2.0,0.082,6.0,15.0,0.9988,2.94,0.66,9.2,1
670,Red,6.9,0.4,0.24,2.5,0.083,30.0,45.0,0.9959,3.26,0.58,10.0,0
671,Red,8.2,0.73,0.21,1.7,0.074,5.0,13.0,0.9968,3.2,0.52,9.5,0
672,Red,9.8,1.24,0.34,2.0,0.079,32.0,151.0,0.998,3.15,0.53,9.5,0
673,Red,8.2,0.73,0.21,1.7,0.074,5.0,13.0,0.9968,3.2,0.52,9.5,0
674,Red,10.8,0.4,0.41,2.2,0.084,7.0,17.0,0.9984,3.08,0.67,9.3,1
675,Red,9.3,0.41,0.39,2.2,0.064,12.0,31.0,0.9984,3.26,0.65,10.2,0
676,Red,10.8,0.4,0.41,2.2,0.084,7.0,17.0,0.9984,3.08,0.67,9.3,1
677,Red,8.6,0.8,0.11,2.3,0.084,12.0,31.0,0.9979,3.4,0.48,9.9,0
678,Red,8.3,0.78,0.1,2.6,0.081,45.0,87.0,0.9983,3.48,0.53,10.0,0
679,Red,10.8,0.26,0.45,3.3,0.06,20.0,49.0,0.9972,3.13,0.54,9.6,0
680,Red,13.3,0.43,0.58,1.9,0.07,15.0,40.0,1.0004,3.06,0.49,9.0,0
681,Red,8.0,0.45,0.23,2.2,0.094,16.0,29.0,0.9962,3.21,0.49,10.2,1
682,Red,8.5,0.46,0.31,2.25,0.078,32.0,58.0,0.998,3.33,0.54,9.8,0
683,Red,8.1,0.78,0.23,2.6,0.059,5.0,15.0,0.997,3.37,0.56,11.3,0
684,Red,9.8,0.98,0.32,2.3,0.078,35.0,152.0,0.998,3.25,0.48,9.4,0
685,Red,8.1,0.78,0.23,2.6,0.059,5.0,15.0,0.997,3.37,0.56,11.3,0
686,Red,7.1,0.65,0.18,1.8,0.07,13.0,40.0,0.997,3.44,0.6,9.1,0
687,Red,9.1,0.64,0.23,3.1,0.095,13.0,38.0,0.9998,3.28,0.59,9.7,0
688,Red,7.7,0.66,0.04,1.6,0.039,4.0,9.0,0.9962,3.4,0.47,9.4,0
689,Red,8.1,0.38,0.48,1.8,0.157,5.0,17.0,0.9976,3.3,1.05,9.4,0
690,Red,7.4,1.185,0.0,4.25,0.097,5.0,14.0,0.9966,3.63,0.54,10.7,0
691,Red,9.2,0.92,0.24,2.6,0.087,12.0,93.0,0.9998,3.48,0.54,9.8,0
692,Red,8.6,0.49,0.51,2.0,0.422,16.0,62.0,0.9979,3.03,1.17,9.0,0
693,Red,9.0,0.48,0.32,2.8,0.084,21.0,122.0,0.9984,3.32,0.62,9.4,0
694,Red,9.0,0.47,0.31,2.7,0.084,24.0,125.0,0.9984,3.31,0.61,9.4,0
695,Red,5.1,0.47,0.02,1.3,0.034,18.0,44.0,0.9921,3.9,0.62,12.8,1
696,Red,7.0,0.65,0.02,2.1,0.066,8.0,25.0,0.9972,3.47,0.67,9.5,1
697,Red,7.0,0.65,0.02,2.1,0.066,8.0,25.0,0.9972,3.47,0.67,9.5,1
698,Red,9.4,0.615,0.28,3.2,0.087,18.0,72.0,1.0001,3.31,0.53,9.7,0
699,Red,11.8,0.38,0.55,2.1,0.071,5.0,19.0,0.9986,3.11,0.62,10.8,1
700,Red,10.6,1.02,0.43,2.9,0.076,26.0,88.0,0.9984,3.08,0.57,10.1,1
701,Red,7.0,0.65,0.02,2.1,0.066,8.0,25.0,0.9972,3.47,0.67,9.5,1
702,Red,7.0,0.64,0.02,2.1,0.067,9.0,23.0,0.997,3.47,0.67,9.4,1
703,Red,7.5,0.38,0.48,2.6,0.073,22.0,84.0,0.9972,3.32,0.7,9.6,0
704,Red,9.1,0.765,0.04,1.6,0.078,4.0,14.0,0.998,3.29,0.54,9.7,0
705,Red,8.4,1.035,0.15,6.0,0.073,11.0,54.0,0.999,3.37,0.49,9.9,0
706,Red,7.0,0.78,0.08,2.0,0.093,10.0,19.0,0.9956,3.4,0.47,10.0,0
707,Red,7.4,0.49,0.19,3.0,0.077,16.0,37.0,0.9966,3.37,0.51,10.5,0
708,Red,7.8,0.545,0.12,2.5,0.068,11.0,35.0,0.996,3.34,0.61,11.6,1
709,Red,9.7,0.31,0.47,1.6,0.062,13.0,33.0,0.9983,3.27,0.66,10.0,1
710,Red,10.6,1.025,0.43,2.8,0.08,21.0,84.0,0.9985,3.06,0.57,10.1,0
711,Red,8.9,0.565,0.34,3.0,0.093,16.0,112.0,0.9998,3.38,0.61,9.5,0
712,Red,8.7,0.69,0.0,3.2,0.084,13.0,33.0,0.9992,3.36,0.45,9.4,0
713,Red,8.0,0.43,0.36,2.3,0.075,10.0,48.0,0.9976,3.34,0.46,9.4,0
714,Red,9.9,0.74,0.28,2.6,0.078,21.0,77.0,0.998,3.28,0.51,9.8,0
715,Red,7.2,0.49,0.18,2.7,0.069,13.0,34.0,0.9967,3.29,0.48,9.2,1
716,Red,8.0,0.43,0.36,2.3,0.075,10.0,48.0,0.9976,3.34,0.46,9.4,0
717,Red,7.6,0.46,0.11,2.6,0.079,12.0,49.0,0.9968,3.21,0.57,10.0,0
718,Red,8.4,0.56,0.04,2.0,0.082,10.0,22.0,0.9976,3.22,0.44,9.6,0
719,Red,7.1,0.66,0.0,3.9,0.086,17.0,45.0,0.9976,3.46,0.54,9.5,0
720,Red,8.4,0.56,0.04,2.0,0.082,10.0,22.0,0.9976,3.22,0.44,9.6,0
721,Red,8.9,0.48,0.24,2.85,0.094,35.0,106.0,0.9982,3.1,0.53,9.2,0
722,Red,7.6,0.42,0.08,2.7,0.084,15.0,48.0,0.9968,3.21,0.59,10.0,0
723,Red,7.1,0.31,0.3,2.2,0.053,36.0,127.0,0.9965,2.94,1.62,9.5,0
724,Red,7.5,1.115,0.1,3.1,0.086,5.0,12.0,0.9958,3.54,0.6,11.2,0
725,Red,9.0,0.66,0.17,3.0,0.077,5.0,13.0,0.9976,3.29,0.55,10.4,0
726,Red,8.1,0.72,0.09,2.8,0.084,18.0,49.0,0.9994,3.43,0.72,11.1,1
727,Red,6.4,0.57,0.02,1.8,0.067,4.0,11.0,0.997,3.46,0.68,9.5,0
728,Red,6.4,0.57,0.02,1.8,0.067,4.0,11.0,0.997,3.46,0.68,9.5,0
729,Red,6.4,0.865,0.03,3.2,0.071,27.0,58.0,0.995,3.61,0.49,12.7,1
730,Red,9.5,0.55,0.66,2.3,0.387,12.0,37.0,0.9982,3.17,0.67,9.6,0
731,Red,8.9,0.875,0.13,3.45,0.088,4.0,14.0,0.9994,3.44,0.52,11.5,0
732,Red,7.3,0.835,0.03,2.1,0.092,10.0,19.0,0.9966,3.39,0.47,9.6,0
733,Red,7.0,0.45,0.34,2.7,0.082,16.0,72.0,0.998,3.55,0.6,9.5,0
734,Red,7.7,0.56,0.2,2.0,0.075,9.0,39.0,0.9987,3.48,0.62,9.3,0
735,Red,7.7,0.965,0.1,2.1,0.112,11.0,22.0,0.9963,3.26,0.5,9.5,0
736,Red,7.7,0.965,0.1,2.1,0.112,11.0,22.0,0.9963,3.26,0.5,9.5,0
737,Red,8.2,0.59,0.0,2.5,0.093,19.0,58.0,1.0002,3.5,0.65,9.3,1
738,Red,9.0,0.46,0.23,2.8,0.092,28.0,104.0,0.9983,3.1,0.56,9.2,0
739,Red,9.0,0.69,0.0,2.4,0.088,19.0,38.0,0.999,3.35,0.6,9.3,0
740,Red,8.3,0.76,0.29,4.2,0.075,12.0,16.0,0.9965,3.45,0.68,11.5,1
741,Red,9.2,0.53,0.24,2.6,0.078,28.0,139.0,0.99788,3.21,0.57,9.5,0
742,Red,6.5,0.615,0.0,1.9,0.065,9.0,18.0,0.9972,3.46,0.65,9.2,0
743,Red,11.6,0.41,0.58,2.8,0.096,25.0,101.0,1.00024,3.13,0.53,10.0,0
744,Red,11.1,0.39,0.54,2.7,0.095,21.0,101.0,1.0001,3.13,0.51,9.5,0
745,Red,7.3,0.51,0.18,2.1,0.07,12.0,28.0,0.99768,3.52,0.73,9.5,1
746,Red,8.2,0.34,0.38,2.5,0.08,12.0,57.0,0.9978,3.3,0.47,9.0,1
747,Red,8.6,0.33,0.4,2.6,0.083,16.0,68.0,0.99782,3.3,0.48,9.4,0
748,Red,7.2,0.5,0.18,2.1,0.071,12.0,31.0,0.99761,3.52,0.72,9.6,1
749,Red,7.3,0.51,0.18,2.1,0.07,12.0,28.0,0.99768,3.52,0.73,9.5,1
750,Red,8.3,0.65,0.1,2.9,0.089,17.0,40.0,0.99803,3.29,0.55,9.5,0
751,Red,8.3,0.65,0.1,2.9,0.089,17.0,40.0,0.99803,3.29,0.55,9.5,0
752,Red,7.6,0.54,0.13,2.5,0.097,24.0,66.0,0.99785,3.39,0.61,9.4,0
753,Red,8.3,0.65,0.1,2.9,0.089,17.0,40.0,0.99803,3.29,0.55,9.5,0
754,Red,7.8,0.48,0.68,1.7,0.415,14.0,32.0,0.99656,3.09,1.06,9.1,1
755,Red,7.8,0.91,0.07,1.9,0.058,22.0,47.0,0.99525,3.51,0.43,10.7,1
756,Red,6.3,0.98,0.01,2.0,0.057,15.0,33.0,0.99488,3.6,0.46,11.2,1
757,Red,8.1,0.87,0.0,2.2,0.084,10.0,31.0,0.99656,3.25,0.5,9.8,0
758,Red,8.1,0.87,0.0,2.2,0.084,10.0,31.0,0.99656,3.25,0.5,9.8,0
759,Red,8.8,0.42,0.21,2.5,0.092,33.0,88.0,0.99823,3.19,0.52,9.2,0
760,Red,9.0,0.58,0.25,2.8,0.075,9.0,104.0,0.99779,3.23,0.57,9.7,0
761,Red,9.3,0.655,0.26,2.0,0.096,5.0,35.0,0.99738,3.25,0.42,9.6,0
762,Red,8.8,0.7,0.0,1.7,0.069,8.0,19.0,0.99701,3.31,0.53,10.0,1
763,Red,9.3,0.655,0.26,2.0,0.096,5.0,35.0,0.99738,3.25,0.42,9.6,0
764,Red,9.1,0.68,0.11,2.8,0.093,11.0,44.0,0.99888,3.31,0.55,9.5,1
765,Red,9.2,0.67,0.1,3.0,0.091,12.0,48.0,0.99888,3.31,0.54,9.5,1
766,Red,8.8,0.59,0.18,2.9,0.089,12.0,74.0,0.99738,3.14,0.54,9.4,0
767,Red,7.5,0.6,0.32,2.7,0.103,13.0,98.0,0.99938,3.45,0.62,9.5,0
768,Red,7.1,0.59,0.02,2.3,0.082,24.0,94.0,0.99744,3.55,0.53,9.7,1
769,Red,7.9,0.72,0.01,1.9,0.076,7.0,32.0,0.99668,3.39,0.54,9.6,0
770,Red,7.1,0.59,0.02,2.3,0.082,24.0,94.0,0.99744,3.55,0.53,9.7,1
771,Red,9.4,0.685,0.26,2.4,0.082,23.0,143.0,0.9978,3.28,0.55,9.4,0
772,Red,9.5,0.57,0.27,2.3,0.082,23.0,144.0,0.99782,3.27,0.55,9.4,0
773,Red,7.9,0.4,0.29,1.8,0.157,1.0,44.0,0.9973,3.3,0.92,9.5,1
774,Red,7.9,0.4,0.3,1.8,0.157,2.0,45.0,0.99727,3.31,0.91,9.5,1
775,Red,7.2,1.0,0.0,3.0,0.102,7.0,16.0,0.99586,3.43,0.46,10.0,0
776,Red,6.9,0.765,0.18,2.4,0.243,5.5,48.0,0.99612,3.4,0.6,10.3,1
777,Red,6.9,0.635,0.17,2.4,0.241,6.0,18.0,0.9961,3.4,0.59,10.3,1
778,Red,8.3,0.43,0.3,3.4,0.079,7.0,34.0,0.99788,3.36,0.61,10.5,0
779,Red,7.1,0.52,0.03,2.6,0.076,21.0,92.0,0.99745,3.5,0.6,9.8,0
780,Red,7.0,0.57,0.0,2.0,0.19,12.0,45.0,0.99676,3.31,0.6,9.4,1
781,Red,6.5,0.46,0.14,2.4,0.114,9.0,37.0,0.99732,3.66,0.65,9.8,0
782,Red,9.0,0.82,0.05,2.4,0.081,26.0,96.0,0.99814,3.36,0.53,10.0,0
783,Red,6.5,0.46,0.14,2.4,0.114,9.0,37.0,0.99732,3.66,0.65,9.8,0
784,Red,7.1,0.59,0.01,2.5,0.077,20.0,85.0,0.99746,3.55,0.59,9.8,0
785,Red,9.9,0.35,0.41,2.3,0.083,11.0,61.0,0.9982,3.21,0.5,9.5,0
786,Red,9.9,0.35,0.41,2.3,0.083,11.0,61.0,0.9982,3.21,0.5,9.5,0
787,Red,10.0,0.56,0.24,2.2,0.079,19.0,58.0,0.9991,3.18,0.56,10.1,1
788,Red,10.0,0.56,0.24,2.2,0.079,19.0,58.0,0.9991,3.18,0.56,10.1,1
789,Red,8.6,0.63,0.17,2.9,0.099,21.0,119.0,0.998,3.09,0.52,9.3,0
790,Red,7.4,0.37,0.43,2.6,0.082,18.0,82.0,0.99708,3.33,0.68,9.7,1
791,Red,8.8,0.64,0.17,2.9,0.084,25.0,130.0,0.99818,3.23,0.54,9.6,0
792,Red,7.1,0.61,0.02,2.5,0.081,17.0,87.0,0.99745,3.48,0.6,9.7,1
793,Red,7.7,0.6,0.0,2.6,0.055,7.0,13.0,0.99639,3.38,0.56,10.8,0
794,Red,10.1,0.27,0.54,2.3,0.065,7.0,26.0,0.99531,3.17,0.53,12.5,1
795,Red,10.8,0.89,0.3,2.6,0.132,7.0,60.0,0.99786,2.99,1.18,10.2,0
796,Red,8.7,0.46,0.31,2.5,0.126,24.0,64.0,0.99746,3.1,0.74,9.6,0
797,Red,9.3,0.37,0.44,1.6,0.038,21.0,42.0,0.99526,3.24,0.81,10.8,1
798,Red,9.4,0.5,0.34,3.6,0.082,5.0,14.0,0.9987,3.29,0.52,10.7,1
799,Red,9.4,0.5,0.34,3.6,0.082,5.0,14.0,0.9987,3.29,0.52,10.7,1
800,Red,7.2,0.61,0.08,4.0,0.082,26.0,108.0,0.99641,3.25,0.51,9.4,0
801,Red,8.6,0.55,0.09,3.3,0.068,8.0,17.0,0.99735,3.23,0.44,10.0,0
